Species,Migration,Mass,Urb,Br,Co,Op,Ma,We
Phylloscopus_trochilus,L,9,0.15,1.,1.,0.,0.4,0.03
Turdus_iliacus,S,60,0.1,1.,1.,0.,0.,0.05
Fringilla_coelebs,S,22,0.05,1.,1.,0.,0.,0.
Turdus_philomelos,S,69,0.05,1.,0.8,0.,0.,0.
Carduelis_spinus,S,13,0.,0.4,1.,0.,0.,0.
Parus_major,R,19,0.3,0.9,0.9,0.,0.,0.
Anthus_trivialis,L,23,0.,0.2,0.6,0.,0.,0.3
Erithacus_rubecula,S,16,0.1,1.,1.,0.1,0.,0.
Cuculus_canorus,L,112,0.,1.,1.,0.3,0.,0.1
Muscicapa_striata,L,16,0.1,0.8,0.8,0.,0.,0.
Ficedula_hypoleuca,L,13,0.25,0.7000000000000001,0.7000000000000001,0.,0.,0.
Turdus_pilaris,S,106,0.3,0.6,0.,0.,0.,0.
Loxia_curvirostra,R,41,0.,0.15,0.3,0.,0.,0.
Columba_palumbus,S,501,0.9500000000000001,0.8,0.8,0.,0.,0.
Sylvia_borin,L,20,0.05,1.,0.1,0.05,0.,0.
Corvus_corone,R,525,1.,0.2,0.2,0.1,0.,0.4
Dendrocopos_major,R,90,0.05,0.8,0.8,0.,0.,0.
Emberiza_citrinella,R,30,0.3,0.1,0.1,0.5,0.,0.
Turdus_merula,S,101,0.25,1.,0.5,0.,0.,0.
Sylvia_curruca,L,12,0.,0.05,0.2,0.1,0.,0.
Regulus_regulus,R,6,0.,0.2,0.4,0.,0.,0.
Prunella_modularis,S,19,0.05,0.15,0.3,0.15,0.,0.
Phoenicurus_phoenicurus,L,15,0.1,0.3,0.4,0.,0.,0.
Parus_caeruleus,R,11,0.25,0.9,0.2,0.,0.,0.1
Parus_montanus,R,11,0.,0.7000000000000001,0.6,0.,0.,0.
Motacilla_alba,S,20,0.9,0.,0.,0.,0.15,0.15
Carduelis_chloris,R,29,0.7000000000000001,0.,0.,0.15,0.,0.
Phylloscopus_collybita,L,8,0.,0.3,0.4,0.,0.,0.
Tringa_ochropus,L,80,0.,0.15,0.3,0.,0.,0.25
Parus_cristatus,R,12,0.,0.2,0.8,0.,0.,0.
Sylvia_communis,L,15,0.4,0.,0.,0.2,0.,0.1
Grus_grus,S,4115,0.15,0.,0.,0.,0.,0.5
Larus_canus,S,387,0.,0.,0.,0.,0.8,0.8
Pica_pica,R,235,0.9,0.,0.,0.,0.,0.
Phylloscopus_sibilatrix,L,10,0.,0.4,0.05,0.,0.,0.
Turdus_viscivorus,S,115,0.,0.15,0.5,0.,0.,0.1
Hirundo_rustica,L,19,0.7000000000000001,0.,0.,0.,0.,0.05
Sylvia_atricapilla,L,20,0.,0.6,0.1,0.,0.,0.
Tetrao_tetrix,R,1088,0.1,0.4,0.8,0.,0.,0.15
Pyrrhula_pyrrhula,R,29,0.,0.3,0.7000000000000001,0.,0.,0.
Dryocopus_martius,R,380,0.,1.,1.,0.,0.,0.
Certhia_familiaris,R,9,0.,0.8,0.8,0.,0.,0.
Alauda_arvensis,S,37,0.5,0.,0.,0.,0.,0.15
Corvus_corax,R,1195,0.6,0.8,0.8,0.8,0.,0.1
Saxicola_rubetra,L,17,0.3,0.,0.,0.,0.,0.15
Garrulus_glandarius,R,160,0.,0.3,0.6,0.,0.,0.
Numenius_arquata,S,725,0.5,0.,0.,0.,0.,0.15
Carpodacus_erythrinus,L,23,0.3,0.1,0.,0.,0.,0.3
Gallinago_gallinago,S,107,0.1,0.,0.,0.1,0.,0.5
Corvus_monedula,R,225,0.9500000000000001,0.5,0.5,0.,0.,0.